seller_city,customer_city,volumen,gmv,atraso_prom,flete_por_km_prom,review_prom,distancia_prom_km,score_volumen,score_puntualidad,score_flete,score_satisfaccion,indice_desempeno,lat_origen,lng_origen,lat_destino,lng_destino
itaquaquecetuba,sao paulo,169,36481.270000000004,-11.113636363636363,0.9436108989017177,3.3513513513513513,29.506393931830836,4.003836010549029,68.49173553719008,93.36093316477965,58.78378378378378,54.9,-23.470259427376792,-46.34277286562584,-23.570860168123772,-46.63324168698217
guariba,sao paulo,162,35847.5,-10.89090909090909,0.04637930820811027,4.221556886227545,296.3560238351596,3.8360105490290097,68.27164929931729,99.78772993945661,80.53892215568862,61.5,-21.36350170979939,-48.22960077888057,-23.570860168123772,-46.63324168698217
limeira,sao paulo,159,18847.7,-8.508108108108107,0.08669833687027956,4.413978494623656,137.6080458669698,3.764085351234716,65.91710287362461,99.49892802248016,85.34946236559139,62.0,-22.573478963977,-47.408479247924,-23.570860168123772,-46.63324168698217
campo limpo paulista,sao paulo,153,15374.7,-12.871951219512194,0.3711947952501708,4.121212121212121,42.52245932591902,3.620234955646128,70.22920080979466,97.46110307283762,78.03030303030303,61.0,-23.21221676734244,-46.77576640852021,-23.570860168123772,-46.63324168698217
sao paulo,jundiai,143,16596.55,-9.709677419354838,0.2213768057203794,4.288461538461538,53.45367539155042,3.380484296331815,67.10442432742573,98.53423712416355,82.21153846153845,61.2,-23.570860168123772,-46.63324168698217,-23.18567574426163,-46.90259409644344
sao jose dos campos,sao paulo,141,24483.94,-8.928571428571429,0.12732825079388324,3.715686274509804,85.36647676390704,3.3325341644689526,66.33258046301525,99.20789925970804,67.8921568627451,57.5,-23.21087970704399,-45.885186496537024,-23.570860168123772,-46.63324168698217
pedreira,sao paulo,136,11410.53,-11.281045751633988,0.1644221361125993,4.131578947368421,96.15571388121067,3.2126588348117955,68.65715983363043,98.94219878170519,78.28947368421053,60.8,-22.74032548616481,-46.896753691339335,-23.570860168123772,-46.63324168698217
jacarei,sao paulo,135,16152.34,-9.714285714285714,0.14636019005577214,3.9859154929577465,74.79248239180929,3.188683768880365,67.10897797854321,99.07157502956184,74.64788732394366,59.4,-23.296728672789843,-45.96374124064235,-23.570860168123772,-46.63324168698217
atibaia,sao paulo,123,10791.68,-8.476190476190476,0.194919475138898,4.223076923076923,53.84317270023431,2.9009829777031886,65.88556371165066,98.72374882728603,80.57692307692308,60.4,-23.123134519244505,-46.560481987331165,-23.570860168123772,-46.63324168698217
sorocaba,sao paulo,115,10647.26,-9.712,0.15281859323804028,4.126984126984127,83.91796882826708,2.7091824502517383,67.10671936758894,99.02531401381977,78.17460317460319,60.2,-23.485346151382075,-47.464450005691745,-23.570860168123772,-46.63324168698217
sao paulo,ribeirao preto,113,13522.73,-12.94488188976378,0.04804494619448199,4.299212598425197,293.04334137255034,2.6612323183888753,70.30126668948989,99.77579911028204,82.48031496062993,62.3,-23.570860168123772,-46.63324168698217,-21.18075063440761,-47.804281096227626
sao paulo,barueri,112,11739.19,-8.529411764705882,0.41817658179620054,4.221311475409836,29.335138801144335,2.6372572524574442,65.93815391769357,97.12457636404311,80.5327868852459,60.0,-23.570860168123772,-46.63324168698217,-23.50591265074973,-46.86935863185775
osasco,sao paulo,111,19655.97,-8.35483870967742,0.9408923211306279,4.173228346456693,18.348777891742195,2.6132821865260127,65.76565089889074,93.38040611583506,79.33070866141732,58.9,-23.536560947810024,-46.788283628866644,-23.570860168123772,-46.63324168698217
sao paulo,mogi das cruzes,102,13077.51,-9.495575221238939,0.2826722174620157,4.205357142857143,44.58644133953331,2.397506593143131,66.8928608905523,98.09518308441545,80.13392857142858,60.3,-23.570860168123772,-46.63324168698217,-23.530401558443817,-46.19388795902843
santos,sao paulo,101,10162.9,-9.019047619047619,0.20666708733949393,4.08256880733945,52.68238974117427,2.3735315272117,66.42198381328816,98.63960163832829,77.06422018348624,59.5,-23.96252319074522,-46.32780350647337,-23.570860168123772,-46.63324168698217
ibitinga,campinas,101,11801.72,-10.13076923076923,0.06513813037682013,3.9153846153846152,221.11152042097154,2.3735315272117,67.52052295530557,99.65336202479435,72.88461538461539,59.0,-21.75732063771276,-48.82974353343716,-22.900868230378116,-47.068536847474405
sao paulo,piracicaba,100,16034.25,-10.513043478260869,0.08994412107145874,4.177966101694915,142.89499144590488,2.3495564612802684,67.8982643065819,99.47567873472458,79.44915254237289,60.7,-23.570860168123772,-46.63324168698217,-22.725841079430882,-47.646621915541594
maua,sao paulo,95,6843.17,-10.247706422018348,0.4370574580083986,4.071428571428571,24.609187073140777,2.229681131623112,67.63607353954382,96.98933418621272,76.78571428571428,59.4,-23.669993795741274,-46.4489086924047,-23.570860168123772,-46.63324168698217
sao paulo,maua,92,7414.55,-8.145833333333334,0.48964189819993514,4.275510204081633,23.05697087088983,2.157755933828818,65.55912384716733,96.61267612587858,81.88775510204083,60.0,-23.570860168123772,-46.63324168698217,-23.669993795741274,-46.4489086924047
sao paulo,carapicuiba,92,8358.74,-8.83,0.4244251018066293,4.056603773584905,24.980538131213592,2.157755933828818,66.23517786561266,97.07981872435893,76.41509433962264,58.9,-23.570860168123772,-46.63324168698217,-23.545578557335283,-46.838775575768985
sao paulo,praia grande,88,9863.31,-7.775510204081633,0.21382629367210085,4.089108910891089,52.964550496117056,2.0618556701030926,65.19319190126643,98.58832082672414,77.22772277227723,59.1,-23.570860168123772,-46.63324168698217,-24.02142365584944,-46.46182393815411
